total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
111.0230975,111.0230975,114.2680883,0.029228069,3.21765995,3.22,120.04,3.22,123.26,24,10,10,10,2,2,"2,7,8,12,15,16,17,18,24,25"
108.5674396,108.5674396,111.6583662,0.028470107,5.330707788,5.33,120.01,5.33,125.34,24,10,10,10,2,2,"2,6,7,10,12,15,16,17,18,24"
110.5797564,110.5797564,113.8305926,0.029398113,3.81795001,3.82,120.02,3.82,123.84,24,10,10,10,2,2,"2,4,6,8,14,15,16,17,19,24"
109.024956,109.024956,112.2515265,0.029594788,6.265653133,6.27,120.02,6.27,126.29,24,10,10,10,2,2,"4,6,7,9,10,12,15,17,19,22"
108.2292764,108.2292764,111.4119337,0.029406621,5.184069157,5.18,120.01,5.18,125.19,24,10,11,11,2,2,"4,6,7,9,10,15,16,19,22,25"
109.8756114,109.8756114,112.7583496,0.026236379,2.921911001,2.92,120.03,2.92,122.95,24,10,10,10,2,2,"2,4,6,14,15,17,18,19,22,24"
109.1216563,109.1216563,112.3319986,0.029419845,3.461929083,3.46,120.02,3.46,123.48,24,10,10,10,2,2,"2,4,12,14,16,17,18,19,22,25"
110.2946112,110.2946112,113.5533542,0.029545805,1.447412014,1.45,120.02,1.45,121.47,24,10,10,10,2,2,"4,7,8,10,14,18,19,22,24,25"
108.0445041,108.0445041,111.1825797,0.029044287,5.831736803,5.83,120.03,5.83,125.86,24,10,11,11,2,2,"2,4,8,10,12,16,18,19,22,24"
104.6340515,104.6340515,107.6501543,0.028825251,4.005891085,4.01,132.04,4.01,136.05,24,11,12,12,2,2,"7,8,9,10,12,15,16,17,18,22,25"
106.6560221,106.6560221,109.8456102,0.029905373,7.033565998,7.03,132.02,7.03,139.05,24,11,11,11,2,2,"2,7,9,10,12,16,17,18,19,22,24"
109.3589055,109.3589055,112.6188752,0.029809824,6.400108099,6.4,132.01,6.4,138.41,24,11,11,11,2,2,"2,4,6,9,10,14,15,16,17,24,25"
107.5938785,107.5938785,110.7864003,0.029671965,4.513465881,4.51,132.03,4.51,136.54,24,11,11,11,2,2,"2,6,8,9,12,14,16,17,19,24,25"
107.9501928,107.9501928,111.1871425,0.029985585,6.154627085,6.15,132.02,6.15,138.17,24,11,11,11,2,2,"2,4,6,7,8,10,14,16,17,19,24"
105.3088873,105.3088873,108.3699888,0.029067837,7.774725914,7.77,132.05,7.77,139.82,24,11,12,12,2,2,"2,6,7,8,10,14,16,18,19,22,25"
105.6726079,105.6726079,108.2193455,0.024100263,5.474274874,5.47,132.03,5.47,137.5,24,11,12,12,2,2,"2,4,7,9,10,12,15,17,19,22,25"
106.0535909,106.0535909,109.2136889,0.029797181,29.63277483,29.63,132.02,29.63,161.65,24,11,11,11,2,2,"7,8,9,10,12,15,17,18,19,24,25"
104.9612031,104.9612031,108.0155838,0.029100092,3.016723871,3.02,132.04,3.02,135.06,24,11,12,12,2,2,"2,7,10,12,14,16,17,18,19,22,25"
108.7348498,108.7348498,111.8306254,0.028470869,3.73931098,3.74,132.01,3.74,135.75,24,11,11,11,2,2,"4,7,8,9,10,12,14,18,19,24,25"
107.5830326,107.5830326,110.8008731,0.029910298,4.250980139,4.25,132.02,4.25,136.27,24,11,11,11,2,2,"2,6,7,8,10,12,16,17,22,24,25"
108.3035135,108.3035135,111.2018039,0.026760817,1.941348076,1.94,132.04,1.94,133.98,24,11,11,11,2,2,"4,6,8,15,16,17,18,19,22,24,25"
