total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
116.0071315,116.0071313,119.2122492,0.027628629,0.619642019,0.62,0.259920693,7,7,7,2,2,"2,6,7,8,9,16,24"
114.0963118,114.0963116,117.3025347,0.028101024,7.023195028,7.02,0.219793345,7,7,7,2,2,"7,10,14,16,17,18,22"
115.7780084,115.7780081,118.8648948,0.026662116,6.169514894,6.17,0.267741585,7,7,7,2,2,"2,6,7,8,10,16,24"
115.1905921,115.1905919,118.3077873,0.027061198,6.171207905,6.17,0.217961454,7,7,7,2,2,"2,6,12,14,15,18,19"
115.6886598,115.6886596,118.300531,0.022576727,0.854601145,0.85,0.208943851,7,7,7,2,2,"6,7,12,14,15,16,19"
115.3460622,115.3460619,118.6236917,0.028415619,0.921988964,0.92,0.271411586,7,7,7,2,2,"2,7,12,15,22,24,25"
112.5547808,112.5547804,115.9299547,0.029986947,58.23351288,58.23,0.328689156,7,8,8,2,2,"9,10,12,14,16,19,25"
114.6741304,114.6741302,117.7604329,0.026913679,3.211985111,3.21,0.217961454,7,7,7,2,2,"7,8,12,14,15,18,19"
114.4713686,114.4713684,117.8885414,0.029851771,3.887129068,3.89,0.23020932,7,7,7,2,2,"2,6,9,10,14,17,19"
116.1691391,116.1691388,118.6469931,0.021329712,0.872411966,0.87,0.228689156,7,7,7,2,2,"2,6,8,12,14,24,25"
113.417365,113.4173647,116.8191488,0.029993503,27.25352407,27.25,0.275829607,8,9,9,2,2,"2,6,7,9,14,18,19,25"
113.5541552,113.5541549,116.8110647,0.028681556,11.80082798,11.8,0.274535599,8,8,8,2,2,"6,8,9,10,14,16,18,24"
113.7124939,113.7124937,117.1114836,0.029891086,10.551548,10.55,0.196875987,8,8,8,2,2,"2,6,7,9,12,14,17,18"
114.5783254,114.5783251,117.8746528,0.028769208,11.60563207,11.61,0.242277184,8,8,8,2,2,"2,4,6,8,9,10,14,16"
113.2783899,113.2783896,116.669757,0.029938344,15.83557796,15.84,0.302149837,8,8,8,2,2,"6,8,10,12,18,22,24,25"
113.8066051,113.8066048,117.2170614,0.029967124,7.139377832,7.14,0.289636727,8,8,8,2,2,"2,9,12,14,17,19,24,25"
112.4966585,112.4966582,115.8707508,0.029992825,98.87493801,98.88,0.274535599,8,8,8,2,2,"2,10,12,15,16,18,22,24"
113.909224,113.9092237,117.2295212,0.029148627,11.35672617,11.36,0.315956955,8,8,8,2,2,"2,7,9,10,14,22,24,25"
113.7114122,113.7114119,116.6768643,0.026078758,24.43240499,24.43,0.274535599,8,8,8,2,2,"2,8,9,10,14,16,18,24"
112.8778762,112.8778759,116.2639612,0.029997777,39.76645303,39.77,0.321895142,8,9,9,2,2,"6,7,9,14,15,17,18,25"
111.0541658,111.0541655,114.3782369,0.029931983,334.058253,334.06,0.277349772,8,9,9,2,2,"2,10,12,15,16,18,19,24"
114.7950615,114.7950613,118.1287622,0.029040456,6.761179924,6.76,0.202149837,8,8,8,2,2,"2,4,6,7,9,14,17,19"
111.7178558,111.7178556,115.0346168,0.02968873,96.3462429,96.35,0.281548704,8,8,8,2,2,"6,10,12,14,16,17,22,25"
112.572411,112.5724108,115.9350556,0.02987095,37.14712811,37.15,0.221676051,8,8,8,2,2,"2,8,10,12,16,17,18,19"
