total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
8.194170909,8.194164579,9.572766225,0.168241879,3600.096959,3600.1,6.33,13,13,8,"3,6,7,8,11,14,19,22"
8.151777304,8.151770544,9.565832234,0.173466817,3600.172596,3600.18,6.759943013,13,13,8,"2,3,4,6,15,19,20,22"
8.488796905,8.488790765,9.468950644,0.115465195,3600.110576,3600.11,6.139999,12,12,8,"4,7,10,11,14,15,19,23"
8.20707368,8.20706735,9.558224782,0.164633404,3600.062376,3600.07,6.329999,13,13,9,"2,3,4,6,10,14,18,23,24"
7.856784946,7.856778931,9.430360515,0.200283297,3600.066141,3600.07,6.014974346,12,11,9,"2,3,4,6,8,11,15,20,22"
8.400832772,8.400826322,9.451064955,0.125016111,3600.219805,3600.22,6.449971012,12,12,9,"3,8,10,14,15,18,22,24,25"
8.05919687,8.05919042,9.466207273,0.174585384,3600.077297,3600.08,6.449999387,13,13,9,"3,4,6,7,18,19,20,22,24"
8.618000693,8.617995863,9.522972762,0.105010134,3600.056336,3600.06,4.829999422,11,11,9,"2,4,6,7,8,10,11,22,24"
8.664171275,8.664165315,9.596135535,0.107566071,3600.042777,3600.05,5.96,11,11,9,"3,4,8,15,18,19,20,24,25"
8.274942873,8.274936513,9.428397518,0.139392127,3600.399119,3600.4,6.359999,12,12,9,"2,8,11,14,18,20,22,24,25"
7.930658402,7.930652177,9.5747545,0.207309851,3600.045954,3600.05,6.22499977,13,12,9,"2,3,4,11,14,18,19,22,24"
8.062120257,8.062114207,9.41341538,0.167611266,3600.091522,3600.1,6.049999776,13,13,9,"2,4,7,8,11,14,15,18,24"
8.62687663,8.62687037,9.326237757,0.081068494,3600.059567,3600.06,6.259999689,11,11,9,"3,6,8,10,15,20,22,24,25"
8.180485458,8.180478818,9.45462594,0.15575459,3600.054205,3600.06,6.64,11,11,9,"2,3,6,7,10,11,22,23,25"
8.132474194,8.132467864,9.402206399,0.156132008,3600.118914,3600.12,6.329983667,13,13,9,"3,7,8,10,15,19,22,24,25"
7.592616049,7.592609739,9.415249661,0.240054472,3600.046469,3600.05,6.309998,14,13,9,"2,3,7,10,11,18,20,22,23"
8.186462033,8.186455703,9.485447959,0.158675781,3600.041773,3600.05,6.329999525,12,12,9,"4,6,10,11,14,15,18,19,22"
8.707880006,8.707874071,9.457729849,0.086112382,3600.285587,3600.29,5.934981943,11,11,9,"2,3,10,18,20,22,23,24,25"
