,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
99%,111.5670759,112.572411,111.5670757,114.8433036,0.029365545,7.870341063,7.87,0.019447088,0.02,7.89,0.252369706,8,8,8,2,2,"2,8,10,12,16,17,18,19"
99%,112.6497599,113.8651036,112.6497597,116.011259,0.029840271,6.631268024,6.63,0.009334087,0.01,6.64,0.268816503,8,8,8,2,2,"2,6,7,9,10,17,22,24"
97%,109.8311506,112.9788228,109.8311503,113.1210254,0.029953935,19.03114915,19.03,0.010284901,0.01,19.04,0.362878317,8,9,9,2,2,"2,4,9,10,14,16,19,22"
100%,113.6187145,113.6360707,113.6187143,116.9910979,0.029681585,6.194216967,6.19,0.017686844,0.02,6.21,0.237706759,8,8,8,2,2,"2,7,9,12,14,15,16,19"
99%,113.1001507,114.4364855,113.1001503,116.4644387,0.0297461,7.075576067,7.08,0.027255058,0.03,7.11,0.382623622,8,8,8,2,2,"2,4,9,16,17,22,24,25"
98%,110.2665878,112.3542085,110.2665876,113.5307814,0.029602746,13.36237192,13.36,0.027666807,0.03,13.39,0.265320987,8,8,8,2,2,"8,12,14,16,17,18,19,25"
99%,113.1268015,114.6593281,113.1268012,116.5070191,0.029879903,8.61469698,8.61,0.012907028,0.01,8.62,0.275610518,8,8,8,2,2,"2,4,6,9,16,18,22,25"
97%,107.6566535,110.5681157,107.6566531,110.8826871,0.029965951,19.75433302,19.75,0.016683817,0.02,19.77,0.358307892,9,10,10,2,2,"7,8,9,12,14,15,18,22,25"
95%,106.1715845,111.4958676,106.1715841,109.3560725,0.029993792,526.608552,526.61,0.019134998,0.02,526.63,0.411093688,9,10,10,2,2,"7,9,10,12,15,16,17,24,25"
99%,111.6018474,112.4734903,111.601847,114.8386437,0.029003074,10.97327304,10.97,0.018856049,0.02,10.99,0.338297322,9,9,9,2,2,"2,7,8,12,14,17,22,24,25"
96%,107.3767627,111.7501701,107.3767623,110.5835071,0.02986442,56.87238383,56.87,0.017900944,0.02,56.89,0.345575691,9,10,10,2,2,"2,6,8,10,14,15,17,18,22"
98%,108.8906743,111.4483434,108.8906741,112.1285912,0.029735486,21.0539999,21.05,0.008969069,0.01,21.06,0.25679668,9,9,9,2,2,"2,7,8,9,10,12,14,17,22"
